portal  group   og      id
Rhier1  acc     OG0116954       jgi|Rhier1|5351|CE5350_27
Rhier1  acc     OG0116955       jgi|Rhier1|4894|CE4893_470
Rhier1  acc     OG0116956       jgi|Rhier1|695965|gm1.140_g
Rhier1  acc     OG0116957       jgi|Rhier1|695937|gm1.112_g
Rhier1  acc     OG0116958       jgi|Rhier1|695930|gm1.105_g
Rhier1  acc     OG0116959       jgi|Rhier1|695929|gm1.104_g
Rhier1  acc     OG0116960       jgi|Rhier1|695924|gm1.99_g
Rhier1  acc     OG0116961       jgi|Rhier1|695923|gm1.98_g
Rhier1  acc     OG0116962       jgi|Rhier1|695920|gm1.95_g
Rhier1  acc     OG0116963       jgi|Rhier1|2578|CE2577_99
Rhier1  acc     OG0116964       jgi|Rhier1|2534|CE2533_423
Rhier1  acc     OG0116965       jgi|Rhier1|695896|gm1.71_g
Rhier1  acc     OG0116966       jgi|Rhier1|742289|estExt_Genemark1.C_1_t10049
Rhier1  acc     OG0116967       jgi|Rhier1|695865|gm1.40_g
Rhier1  acc     OG0116968       jgi|Rhier1|742269|estExt_Genemark1.C_1_t10028
Rhier1  acc     OG0116969       jgi|Rhier1|695847|gm1.22_g
Rhier1  acc     OG0116970       jgi|Rhier1|169|CE168_1479
Rhier1  acc     OG0116971       jgi|Rhier1|695827|gm1.2_g
Rhier1  acc     OG0116972       jgi|Rhier1|639906|fgenesh1_kg.1_#_144_#_Locus14514v1rpkm0.81
Rhier1  acc     OG0116973       jgi|Rhier1|696022|gm1.197_g
Rhier1  acc     OG0116974       jgi|Rhier1|696031|gm1.206_g
Rhier1  acc     OG0116975       jgi|Rhier1|696033|gm1.208_g
Rhier1  acc     OG0116976       jgi|Rhier1|696042|gm1.217_g
Rhier1  acc     OG0116977       jgi|Rhier1|696044|gm1.219_g
Rhier1  acc     OG0116978       jgi|Rhier1|639939|fgenesh1_kg.1_#_177_#_Locus14535v1rpkm0.80
Rhier1  acc     OG0116979       jgi|Rhier1|7436|CE7435_500
Rhier1  acc     OG0116980       jgi|Rhier1|696085|gm1.260_g
Rhier1  acc     OG0116981       jgi|Rhier1|696104|gm1.279_g
Rhier1  acc     OG0116982       jgi|Rhier1|9299|CE9298_41456
Rhier1  acc     OG0116983       jgi|Rhier1|696120|gm1.295_g
Rhier1  acc     OG0116984       jgi|Rhier1|696121|gm1.296_g
Rhier1  acc     OG0116985       jgi|Rhier1|742510|estExt_Genemark1.C_1_t10302
Rhier1  acc     OG0116986       jgi|Rhier1|11158|CE11157_4507
Rhier1  acc     OG0116987       jgi|Rhier1|653092|fgenesh1_pg.1_#_240
Rhier1  acc     OG0116988       jgi|Rhier1|11872|CE11871_887
Rhier1  acc     OG0116989       jgi|Rhier1|653095|fgenesh1_pg.1_#_243
Rhier1  acc     OG0116990       jgi|Rhier1|653096|fgenesh1_pg.1_#_244
Rhier1  acc     OG0116991       jgi|Rhier1|696157|gm1.332_g
Rhier1  acc     OG0116992       jgi|Rhier1|742537|estExt_Genemark1.C_1_t10336
Rhier1  acc     OG0116993       jgi|Rhier1|696168|gm1.343_g
Rhier1  acc     OG0116994       jgi|Rhier1|653113|fgenesh1_pg.1_#_261
Rhier1  acc     OG0116995       jgi|Rhier1|13948|CE13947_21717
Rhier1  acc     OG0116996       jgi|Rhier1|14052|CE14051_757
Rhier1  acc     OG0116997       jgi|Rhier1|640081|fgenesh1_kg.1_#_319_#_Locus7558v2rpkm0.18_PRE
Rhier1  acc     OG0116998       jgi|Rhier1|14539|CE14538_176
Rhier1  acc     OG0116999       jgi|Rhier1|653148|fgenesh1_pg.1_#_296
Rhier1  acc     OG0117000       jgi|Rhier1|696218|gm1.393_g
Rhier1  acc     OG0117001       jgi|Rhier1|653158|fgenesh1_pg.1_#_306
Rhier1  acc     OG0117002       jgi|Rhier1|696220|gm1.395_g
Rhier1  acc     OG0117003       jgi|Rhier1|15287|CE15286_60
Rhier1  acc     OG0117004       jgi|Rhier1|15304|CE15303_18
Rhier1  acc     OG0117005       jgi|Rhier1|15898|CE15897_350
Rhier1  acc     OG0117006       jgi|Rhier1|640149|fgenesh1_kg.1_#_387_#_Locus16653v2rpkm0.28
Rhier1  acc     OG0117007       jgi|Rhier1|696288|gm1.463_g
Rhier1  acc     OG0117008       jgi|Rhier1|16718|CE16717_510
Rhier1  acc     OG0117009       jgi|Rhier1|17142|CE17141_62
Rhier1  acc     OG0117010       jgi|Rhier1|17623|CE17622_67
Rhier1  acc     OG0117011       jgi|Rhier1|640201|fgenesh1_kg.1_#_439_#_Locus14643v1rpkm0.78
Rhier1  acc     OG0117012       jgi|Rhier1|20004|CE20003_25980
Rhier1  acc     OG0117013       jgi|Rhier1|696464|gm1.639_g
Rhier1  acc     OG0117014       jgi|Rhier1|21217|CE21216_211
Rhier1  acc     OG0117015       jgi|Rhier1|696474|gm1.649_g
Rhier1  acc     OG0117016       jgi|Rhier1|21371|CE21370_1602
Rhier1  acc     OG0117017       jgi|Rhier1|21520|CE21519_277
Rhier1  acc     OG0117018       jgi|Rhier1|742823|estExt_Genemark1.C_2_t10003
Rhier1  acc     OG0117019       jgi|Rhier1|742828|estExt_Genemark1.C_2_t10008
Rhier1  acc     OG0117020       jgi|Rhier1|653381|fgenesh1_pg.2_#_9
Rhier1  acc     OG0117021       jgi|Rhier1|136676|CE136675_103
Rhier1  acc     OG0117022       jgi|Rhier1|136712|CE136711_44
Rhier1  acc     OG0117023       jgi|Rhier1|137311|CE137310_11614
Rhier1  acc     OG0117024       jgi|Rhier1|137388|CE137387_523
Rhier1  acc     OG0117025       jgi|Rhier1|696533|gm1.708_g
Rhier1  acc     OG0117026       jgi|Rhier1|640332|fgenesh1_kg.2_#_38_#_Locus13083v2rpkm0.82
Rhier1  acc     OG0117027       jgi|Rhier1|696547|gm1.722_g
Rhier1  acc     OG0117028       jgi|Rhier1|696548|gm1.723_g
Rhier1  acc     OG0117029       jgi|Rhier1|742870|estExt_Genemark1.C_2_t10052
Rhier1  acc     OG0117030       jgi|Rhier1|640376|fgenesh1_kg.2_#_82_#_Locus12451v1rpkm1.64
Rhier1  acc     OG0117031       jgi|Rhier1|742909|estExt_Genemark1.C_2_t10094
Rhier1  acc     OG0117032       jgi|Rhier1|742915|estExt_Genemark1.C_2_t10100
Rhier1  acc     OG0117033       jgi|Rhier1|696603|gm1.778_g
Rhier1  acc     OG0117034       jgi|Rhier1|140811|CE140810_1686
Rhier1  acc     OG0117035       jgi|Rhier1|696636|gm1.811_g
Rhier1  acc     OG0117036       jgi|Rhier1|142390|CE142389_131
Rhier1  acc     OG0117037       jgi|Rhier1|653511|fgenesh1_pg.2_#_139
Rhier1  acc     OG0117038       jgi|Rhier1|653520|fgenesh1_pg.2_#_148
Rhier1  acc     OG0117039       jgi|Rhier1|742994|estExt_Genemark1.C_2_t10183
Rhier1  acc     OG0117040       jgi|Rhier1|696686|gm1.861_g
Rhier1  acc     OG0117041       jgi|Rhier1|653525|fgenesh1_pg.2_#_153
Rhier1  acc     OG0117042       jgi|Rhier1|696688|gm1.863_g
Rhier1  acc     OG0117043       jgi|Rhier1|696689|gm1.864_g
Rhier1  acc     OG0117044       jgi|Rhier1|143885|CE143884_3829
Rhier1  acc     OG0117045       jgi|Rhier1|144005|CE144004_13
Rhier1  acc     OG0117046       jgi|Rhier1|144234|CE144233_218
Rhier1  acc     OG0117047       jgi|Rhier1|696730|gm1.905_g
Rhier1  acc     OG0117048       jgi|Rhier1|696744|gm1.919_g
Rhier1  acc     OG0117049       jgi|Rhier1|146301|CE146300_123
Rhier1  acc     OG0117050       jgi|Rhier1|743085|estExt_Genemark1.C_2_t10282
Rhier1  acc     OG0117051       jgi|Rhier1|696800|gm1.975_g
Rhier1  acc     OG0117052       jgi|Rhier1|147391|CE147390_9039
